Heat of formation at 0K [kJ/mol] (Millar 1997, A&AS 121, 139) + NIST
519
H             216.0 
C2H5OH+       793.1
C2H6O+        801.0 
C4H5+         1076.0 
H5C2O2+       386.0 
C5H4+         1332.0 
H4C4N+        ......
C6H3+         ...... 
H3C5N+        ...... 
C7H2+         ...... 
C8H+          ...... 
HC7N+         ......
C9+           2451.0 
C2H6OH+       542.0 
C2H7O+        507.0 
C2H6CO+       719.7 
C5H5+         1132.0
C6H4+         1400.0 
C7H3+         ...... 
C8H2+         1741.0 
H2C7N+        ...... 
C9H+          ......
C10+          ...... 
C9N+          ...... 
C3H6OH+       490.0 
C6H5+         1141.3 
C7H4+         ......
H4C6N+        ...... 
C8H3+         ...... 
H3C7N+        ...... 
C9H2+         ...... 
HC9N+         ......
C7H5+         ...... 
C8H4+         ...... 
C9H3+         ...... 
H2C9N+        ...... 
C8H5+         ......
C9H4+         ...... 
H4C8N+        ...... 
H3C9N+        ...... 
C9H5+         ...... 
D             219.8
HD              0.3
D2              0.0
LiH           140.8
ND2           188.3
ND3           -51.6
OD             36.9
HDO          -242.3
D2O          -246.3
Ne              0.0
NaH           126.2
MgH           230.3
PH3            13.4
SH            140.0
SD            137.9
O3            144.5
e-              0.0
CH3O           17.4
CH3CH3        -84.0
CH3OH2+       136.0
CH2O          -108.700
HOC           218.
FeO           -272.
NH2OH         -39.9
H2NO           71.33
HOCO         -179.912
H2D+           1105.4
ND2            188.3
ND3           -51.6
HF           -273.3
DF           -276.2
DS            137.9
HD+          1490.498
D+            219.804
NCO           126.91
NO2-          -182.66
HNCO          -116.04
C2H-          277.57
O2H-          -88.88
H2DO+         589.1
DCN           127.89
OD+           1291.20
HDO+          974.5
DCO+          823.3 
CD            592.5
CD+          1619.1
N2D+         1035.5
ND            376.5
NHD           191.6
NH2D          -38.9
NH3D+         630.0
CHD+          1386.0 
CH2D+         1098.0
CH3D+         1098.0
CHD           390.0
CH2D          149.0
CH3D          -66.8
ND            376.5
C2D           560.0
DNC           201.0
C2HD          228.6
CH4D+         905.0
C2H2D+       1120.9
C3D+         1593.0
C3H2D+       1075.0 
ND+          1678.1
NHD+         1266.4 
NH2D+         941.0
HCND+         947.0 
HDNC+        1109.0 
DNO+         1074.4
D-            146.1
HCOOH         115.0
CH3CHCH2     35.014
C3H7+        825.0
C4H3         545.65
CH2CHCCH     294.717
CH2CHC2H     294.717
CH2CHCHCH2   125.118
C4H4+         ......
CH3C4H        ......
C4H7+         ......
C5H+          ......
C5H2+         ......
C5H3+         ......
CH3C4H+       1332.0
C6+           ......
C6H+          ......
C6H3+         ......
C6H6         100.410
C6H6+         ......
C6H7+         ......
C7H+          ......
C7H2+         ......
C7H3+         ......
C7H4+         ......
C7H5+         ......
CH3C6H        ......
C7H4+         ......
C8+           ......
C8H+          ......
C8H3+         ......
C8H4+         ......
C8H5+         ......
CH3CCH       195.10
CH2CCH2      195.10
HC4H          440.0
CH3CH3+      1043.0
C3H6+        ......
HCCN         479.7    http://atct.anl.gov
HCOOH+       721.94   http://atct.anl.gov
CH2OOH+      792.90   http://atct.anl.gov
CH3OO+       1003.49  http://atct.anl.gov
CCCN         715.7    http://atct.anl.gov
CCCN+        1867.6   http://atct.anl.gov
CH3CHCH2+    975.15   http://atct.anl.gov
CH2CHCCH+    1221.7   http://atct.anl.gov
C5H3+        1521.6   http://garfield.chem.elte.hu/Burcat/burcat.html

-------------------------------------------------------------
http://garfield.chem.elte.hu/Burcat/burcat.html hf.doc
Extended Third Millenium ideal Gas and Condensed Phase thermochemical Databse for Combustion with Updates from Active Thermochemical Tables
Elke Goos,Alexander Burcat, Brank Ruscic 

-------------------------------------------------------------
Heats of formation and singlet-triplet separations of hydroxymethylene
and 1-hydroxyethylidene. HOCO = CH2O (H at 296K)
Matus MH1, Nguyen MT, Dixon DA.
J Phys Chem A. 2006 Jul 20;110(28):8864-71.

-------------------------------------------------------------
HOC : Marenich et al. 2003 J Phys Chem A 2003, 107, 2343

-------------------------------------------------------------
NH2OH : wikipedia

-------------------------------------------------------------
HOCO:JOSEPH S. FRANCISCO et al. Vol. 43, No. 12   December 2010   1519-1526   ACCOUNTS OF CHEMICAL RESEARCH

-------------------------------------------------------------
H2D+ from difference in zero point energy J. Ramanlal, O. L. Polyansky⋆, and J. Tennyson A&A 406, 383–384 (2003) DOI: 10.1051/0004-6361:20030774
here I use the exothermicity of the reaction H3+ + HD -> H2D+ + H2
to estimate a consistent value for H2D+ 1105.4

-------------------------------------------------------------
http://cccbdb.nist.gov/hf0k.asp

-------------------------------------------------------------
H2DO+ (H3O+: 597.)
H2DO+ ZPE: 6791 cm^-1 to 6806 cm^-1
H3O+  ZPE: 7451 cm^-1
difference is 7.895 KJ/mol
ZPE from Huang et al. 2003 Journal of Chem Physics 118, 5431
doi: 10.1063/1.1555974

-------------------------------------------------------------
OD+ ???
OD         36.9
OH        38.4
OH+       1292.7 -> OD+ = OH+ +(OD-OH) = 1292.7 +36.9 - 38.4

-------------------------------------------------------------
Hugo 2009

-------------------------------------------------------------
DCN
E(Harmonic zero-point energy) = 2907.80 cm^-1 E(Anarmonic ZPE) =
2908.98 cm^-1 use E(AZPE, HCN) = 3503.48 cm^-1, E(DCN) = 2907.80 cm^-1
difference = 7.1118 KJ/mol (or 855K) H(HCN) = 135 KJ/mol -> H(DCN) Jan
Bron Journal of the Chemical Society Faraday Transactions 2 70(5) ·
January 1974 DOI: 10.1039/f29747000871
-------------------------------------------------------------

The
standard enthalpy of formation or standard heat of formation of a
compound is the change of enthalpy during the formation of 1 mole of
the compound from its constituent elements

Each equation uses different Hreactant and Hproduct values

For the bond dissociation equation: Delta H = BDE of reactants - BDE
of products The BDE of reactants is positive because in a reaction,
you are breaking the bonds of the reactants. The BDE of products is
negative because you are forming the bonds of the products, not
breaking them (hence the negative).

For the heat of formation equation: Delta H = Heat of formation of
products - Heat of formation of reactants The heat of formation of
products is positive because you are forming the products. The heat of
formation of the reactants is negative because you are breaking the
bonds of the reactants, not forming them.

Both equations give you the same delta H value for the reaction, but
they use different values. One uses the bond dissociation energies and
the other uses heat of formation. The bond dissociation energy and the
heats of formation are opposites of one another.


------------
http://atct.anl.gov
H2  0.0
HD  0.328
HD+ 1490.498
H2NO 71.33
H3+ 1110.304
H2O -238.928
H+ 1528.084
OH 37.253
NH 358.75
CH2OH -10.44
HCO 41.46
O- 105.868
NCO 126.91
NO2-  -182.66
HNCO  -116.04
C2H-   277.57
O2H-      -88.88
HCO-   11.62
O+ 1560.786
NH2- 114.95
HC2O  176.88
H2F+  774.25
CH3CH  374.6
C2O  375.0
C+    1797.848
H2CN  242.23
CH3O+  1062.57
O2H+  1110.87
COC 642.7
N2H 252.40
CHD      390.0
D-  146.1
-----------------------------------------
HDO+   H2O+ (H2O-HDO) = 977.9 - (-238.9 + 242.3) =974.5 (rough estimate)
DCO+ = HCO+ and adjustment
Meudon PDR deuterium chemsitry (Roueff: use main isotoplogue heat of formation
when it is not known)
CD   = CH   = 592.5
CD+  = CH+  = 1619.1
N2D+ = N2H+ = 1035.5
ND = NH     =  376.5
NHD  = NH2  =  191.6
NH2D = NH3  =  -38.9
NH3D+ = NH4+  = 630.0
CHD+, CH2D+, CH4+
CHD = CH2 =      390.0
CH2D = CH3
CH3D = CH4
ND   = NH
C2D  = C2H
DNC  = HNC
C2HD = C2H2
CH4D+ = CH5+
C2H2D+
C3D+
C3H2D+
ND+
NHD+
NH2D+
HCND+   = HCNH+   947.0 
HDNC+   = H2NC+  1109.0 
DNO+    = HNO+   1074.4 
------------------------
D- use the electron affinity of K. R. Lykke, K. K. Murray, and W. C. Lineberger
Phys. Rev. A 43, 6104 – Published 1 June 1991
------------------------
